Test Name,Test Category,Scenario Description,Bus Matrix Mode,Masters,Slaves,Test Duration,QoS Support,USER Support,Status
axi4_qos_escalation_test,QoS,QoS priority escalation,BUS_ENHANCED_MATRIX,10,10,10ms,Yes,Yes,PASS
axi4_qos_preemption_test,QoS,QoS transaction preemption,BUS_ENHANCED_MATRIX,10,10,10ms,Yes,Yes,PASS
axi4_qos_user_boost_write_test,QoS,QoS with USER signal boost,BUS_ENHANCED_MATRIX,10,10,10ms,Yes,Yes,PASS
axi4_user_signal_passthrough_test,USER,USER signal passthrough verification,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS
axi4_user_parity_protection_test,USER,USER signal parity checking,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS (v2.8 fixed)
axi4_user_security_tagging_test,USER,USER security tag verification,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS (v2.8 fixed)
axi4_user_signal_corruption_test,USER,USER signal corruption detection,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS (v2.8 fixed)
axi4_user_signal_width_mismatch_test,USER,USER signal width mismatch handling,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS (v2.8 fixed)
axi4_user_signal_protocol_violation_test,USER,USER signal protocol violation,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS
axi4_user_transaction_tracing_test,USER,USER transaction tracing,BUS_ENHANCED_MATRIX,10,10,5ms,No,Yes,PASS (v2.8 fixed)
axi4_user_based_qos_routing_test,USER/QoS,USER-based QoS routing,BUS_ENHANCED_MATRIX,10,10,10ms,Yes,Yes,PASS (v2.8 fixed)
axi4_upper_boundary_write_test,Boundary,Upper address boundary write test,NONE,4,4,8ms,No,No,PASS
axi4_upper_boundary_read_test,Boundary,Upper address boundary read test,NONE,4,4,8ms,No,No,PASS
axi4_4k_boundary_cross_test,Boundary,4K page boundary crossing test,NONE,4,4,8ms,No,No,PASS
axi4_unaligned_transfer_test,Boundary,Unaligned address access test,NONE,4,4,8ms,No,No,PASS
axi4_wrap_burst_4beat_test,Boundary,WRAP burst boundary test,NONE,4,4,8ms,No,No,PASS
axi4_blocking_fixed_burst_write_read_test,Boundary,FIXED burst boundary test,NONE,4,4,8ms,No,No,PASS
axi4_blocking_incr_burst_write_test,Boundary,INCR burst boundary test,NONE,4,4,8ms,No,No,PASS
axi4_narrow_transfer_test,Boundary,Narrow transfer boundary test,NONE,4,4,8ms,No,No,PASS
axi4_wide_transfer_test,Boundary,Wide transfer boundary test,NONE,4,4,8ms,No,No,PASS
axi4_mixed_size_test,Boundary,Mixed size boundary test,NONE,4,4,8ms,No,No,PASS
axi4_back_to_back_write_test,Boundary,Back-to-back boundary test,NONE,4,4,8ms,No,No,PASS
axi4_interleaved_write_test,Boundary,Interleaved boundary test,NONE,4,4,8ms,No,No,PASS
axi4_max_outstanding_test,Boundary,Maximum outstanding boundary test,NONE,4,4,8ms,No,No,PASS
axi4_all_master_slave_access_test,Matrix,All master-slave combinations,BASE_BUS_MATRIX,4,4,20ms,No,No,PASS
axi4_base_matrix_test,Matrix,Base bus matrix functionality,BASE_BUS_MATRIX,4,4,10ms,No,No,PASS
axi4_blocking_8b_write_data_test,Data Width,8-bit write data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_8b_data_read_test,Data Width,8-bit read data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_8b_write_read_test,Data Width,8-bit write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_16b_write_data_test,Data Width,16-bit write data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_16b_data_read_test,Data Width,16-bit read data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_16b_write_read_test,Data Width,16-bit write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_32b_write_data_test,Data Width,32-bit write data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_32b_data_read_test,Data Width,32-bit read data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_32b_write_read_test,Data Width,32-bit write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_64b_write_data_test,Data Width,64-bit write data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_64b_data_read_test,Data Width,64-bit read data test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_64b_write_read_test,Data Width,64-bit write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_incr_burst_write_test,Burst,INCR burst write test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_incr_burst_read_test,Burst,INCR burst read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_incr_burst_write_read_test,Burst,INCR burst write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_fixed_burst_write_read_test,Burst,FIXED burst write-read test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_wrap_burst_test,Burst,WRAP burst test,NONE,4,4,5ms,No,No,PASS
axi4_wrap_burst_4beat_test,Burst,WRAP 4-beat burst test,NONE,4,4,5ms,No,No,PASS
axi4_wrap_burst_8beat_test,Burst,WRAP 8-beat burst test,NONE,4,4,5ms,No,No,PASS
axi4_wrap_burst_16beat_test,Burst,WRAP 16-beat burst test,NONE,4,4,5ms,No,No,PASS
axi4_exclusive_write_success_test,Exclusive,Exclusive write success scenario,NONE,4,4,10ms,No,No,PASS
axi4_exclusive_write_fail_test,Exclusive,Exclusive write failure scenario,NONE,4,4,10ms,No,No,PASS
axi4_exclusive_read_success_test,Exclusive,Exclusive read success scenario,NONE,4,4,10ms,No,No,PASS
axi4_exclusive_read_fail_test,Exclusive,Exclusive read failure scenario,NONE,4,4,10ms,No,No,PASS
axi4_exclusive_monitor_test,Exclusive,Exclusive monitor verification,NONE,4,4,10ms,No,No,PASS
axi4_exclusive_stress_test,Exclusive,Exclusive access under stress,NONE,4,4,15ms,No,No,PASS
axi4_exclusive_multi_master_test,Exclusive,Multi-master exclusive access,BASE_BUS_MATRIX,4,4,15ms,No,No,PASS
axi4_exclusive_timeout_test,Exclusive,Exclusive access timeout,NONE,4,4,10ms,No,No,PASS
axi4_blocking_exokay_response_write_test,Response,EXOKAY write response test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_exokay_response_read_test,Response,EXOKAY read response test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_okay_response_write_test,Response,OKAY write response test,NONE,4,4,5ms,No,No,PASS
axi4_blocking_okay_response_read_test,Response,OKAY read response test,NONE,4,4,5ms,No,No,PASS
axi4_slverr_response_test,Response,SLVERR response handling,NONE,4,4,5ms,No,No,PASS
axi4_decerr_response_test,Response,DECERR response handling,NONE,4,4,5ms,No,No,PASS
axi4_aw_ready_delay_test,Handshake,AW channel ready delay test,NONE,4,4,5ms,No,No,PASS
axi4_ar_ready_delay_test,Handshake,AR channel ready delay test,NONE,4,4,5ms,No,No,PASS
axi4_w_ready_delay_test,Handshake,W channel ready delay test,NONE,4,4,5ms,No,No,PASS
axi4_b_ready_delay_test,Handshake,B channel ready delay test,NONE,4,4,5ms,No,No,PASS
axi4_r_ready_delay_test,Handshake,R channel ready delay test,NONE,4,4,5ms,No,No,PASS
axi4_aw_w_channel_separation_test,Handshake,AW-W channel separation test,NONE,4,4,5ms,No,No,PASS
axi4_out_of_order_read_test,Ordering,Out-of-order read completion,NONE,4,4,10ms,No,No,PASS
axi4_out_of_order_write_test,Ordering,Out-of-order write completion,NONE,4,4,10ms,No,No,PASS
axi4_interleaved_write_test,Ordering,Interleaved write data,NONE,4,4,10ms,No,No,PASS
axi4_outstanding_read_test,Outstanding,Multiple outstanding reads,NONE,4,4,10ms,No,No,PASS
axi4_outstanding_write_test,Outstanding,Multiple outstanding writes,NONE,4,4,10ms,No,No,PASS
axi4_max_outstanding_test,Outstanding,Maximum outstanding transactions,NONE,4,4,15ms,No,No,PASS
axi4_awlen_out_of_spec_test,Error,AWLEN out of spec error test,NONE,4,4,5ms,No,No,PASS
axi4_arlen_out_of_spec_test,Error,ARLEN out of spec error test,NONE,4,4,5ms,No,No,PASS
axi4_wlast_too_early_test,Error,WLAST asserted too early,NONE,4,4,5ms,No,No,PASS
axi4_wlast_too_late_test,Error,WLAST asserted too late,NONE,4,4,5ms,No,No,PASS
axi4_wid_awid_mismatch_test,Error,WID-AWID mismatch error,NONE,4,4,5ms,No,No,PASS
axi4_protocol_violation_test,Error,Protocol violation detection,NONE,4,4,5ms,No,No,PASS
axi4_illegal_burst_test,Error,Illegal burst type test,NONE,4,4,5ms,No,No,PASS
axi4_illegal_size_test,Error,Illegal transfer size test,NONE,4,4,5ms,No,No,PASS
axi4_strobe_mismatch_test,Error,Write strobe mismatch test,NONE,4,4,5ms,No,No,PASS
axi4_nonblocking_write_test,Non-blocking,Non-blocking write operation,NONE,4,4,5ms,No,No,PASS
axi4_nonblocking_read_test,Non-blocking,Non-blocking read operation,NONE,4,4,5ms,No,No,PASS
axi4_nonblocking_write_read_test,Non-blocking,Non-blocking write-read,NONE,4,4,5ms,No,No,PASS
axi4_cross_4k_boundary_test,Cross,Cross 4K boundary access,NONE,4,4,8ms,No,No,PASS
axi4_blocking_cross_write_read_test,Cross,Cross write-read test,NONE,4,4,5ms,No,No,PASS
axi4_random_test,Random,Random transaction generation,NONE,4,4,20ms,No,No,PASS
axi4_random_burst_test,Random,Random burst generation,NONE,4,4,15ms,No,No,PASS
axi4_random_size_test,Random,Random size generation,NONE,4,4,15ms,No,No,PASS
axi4_random_delay_test,Random,Random delay insertion,NONE,4,4,15ms,No,No,PASS
axi4_stress_test,Stress,High stress conditions,BASE_BUS_MATRIX,4,4,30ms,No,No,PASS
axi4_stress_burst_test,Stress,Burst under stress,BASE_BUS_MATRIX,4,4,25ms,No,No,PASS
axi4_stress_outstanding_test,Stress,Outstanding under stress,BASE_BUS_MATRIX,4,4,25ms,No,No,PASS
axi4_write_read_test,Basic,Basic write-read operation,NONE,4,4,5ms,No,No,PASS
axi4_write_only_test,Basic,Write-only operation,NONE,4,4,5ms,No,No,PASS
axi4_read_only_test,Basic,Read-only operation,NONE,4,4,5ms,No,No,PASS
axi4_single_write_test,Basic,Single write transaction,NONE,4,4,5ms,No,No,PASS
axi4_single_read_test,Basic,Single read transaction,NONE,4,4,5ms,No,No,PASS
axi4_back_to_back_write_test,Performance,Back-to-back writes,NONE,4,4,10ms,No,No,PASS
axi4_back_to_back_read_test,Performance,Back-to-back reads,NONE,4,4,10ms,No,No,PASS
axi4_pipeline_write_test,Performance,Pipelined write operations,NONE,4,4,10ms,No,No,PASS
axi4_pipeline_read_test,Performance,Pipelined read operations,NONE,4,4,10ms,No,No,PASS
axi4_narrow_transfer_test,Transfer,Narrow transfer operations,NONE,4,4,5ms,No,No,PASS
axi4_wide_transfer_test,Transfer,Wide transfer operations,NONE,4,4,5ms,No,No,PASS
axi4_mixed_size_test,Transfer,Mixed size transfers,NONE,4,4,10ms,No,No,PASS
axi4_cache_test,Cache,Cache attribute testing,NONE,4,4,10ms,No,No,PASS
axi4_prot_test,Protection,Protection attribute testing,NONE,4,4,10ms,No,No,PASS
axi4_lock_test,Lock,Lock signal testing,NONE,4,4,10ms,No,No,PASS
axi4_region_test,Region,Region signal testing,NONE,4,4,10ms,No,No,PASS
assertion_base_test,Assertion,Assertion infrastructure test,NONE,4,4,5ms,No,No,PASS
# Version 2.8 Fixed Tests - Previously failing, now passing
axi4_hotspot_fairness_boundary_error_reset_backpressure_test,Performance,Hotspot fairness with boundary errors and reset,BUS_ENHANCED_MATRIX,4,4,30ms,Yes,Yes,PASS (v2.8 fixed)
axi4_qos_region_routing_reset_backpressure_test,QoS,QoS region routing with reset and backpressure,BUS_ENHANCED_MATRIX,4,4,20ms,Yes,Yes,PASS (v2.8 fixed)
axi4_saturation_midburst_reset_qos_boundary_test,Performance,Saturation with mid-burst reset and QoS,BUS_ENHANCED_MATRIX,4,4,25ms,Yes,Yes,PASS (v2.8 fixed)
axi4_stability_burnin_longtail_backpressure_error_recovery_test,Stress,Stability burn-in with error recovery,BUS_ENHANCED_MATRIX,4,4,50ms,Yes,Yes,PASS (v2.8 fixed)
axi4_throughput_ordering_longtail_throttled_write_test,Performance,Throughput ordering with throttled writes,BUS_ENHANCED_MATRIX,4,4,30ms,Yes,Yes,PASS (v2.8 fixed)
axi4_write_heavy_midburst_reset_rw_contention_test,Performance,Write-heavy with RW contention,BUS_ENHANCED_MATRIX,4,4,35ms,Yes,Yes,PASS (v2.8 fixed)
axi4_qos_equal_priority_fairness_test,QoS,Equal priority fairness verification,BUS_ENHANCED_MATRIX,4,4,15ms,Yes,No,PASS (v2.8 fixed)
axi4_qos_saturation_stress_test,QoS,QoS saturation under stress,BUS_ENHANCED_MATRIX,4,4,20ms,Yes,No,PASS (v2.8 fixed)
axi4_qos_starvation_prevention_test,QoS,QoS starvation prevention,BUS_ENHANCED_MATRIX,4,4,15ms,Yes,No,PASS (v2.8 fixed)
axi4_qos_with_user_priority_boost_test,QoS,QoS with USER priority boost,BUS_ENHANCED_MATRIX,4,4,15ms,Yes,Yes,PASS (v2.8 fixed)
axi4_qos_basic_priority_test,QoS,Basic QoS priority test,BUS_ENHANCED_MATRIX,4,4,10ms,Yes,No,PASS (v2.8 fixed)
axi4_non_blocking_qos_write_read_test,QoS,Non-blocking QoS write-read,BUS_ENHANCED_MATRIX,4,4,10ms,Yes,No,PASS (v2.8 fixed)
axi4_non_blocking_outstanding_transfer_write_read_test,Outstanding,Non-blocking outstanding transfer,ALL,4,4,10ms,No,No,PASS (v2.8 fixed)
axi4_stress_reset_test,Stress,Stress test with reset,ALL,4,4,20ms,No,No,PASS (v2.8 fixed)
# Error Injection and Exception Handling Tests - Added in v2.9
axi4_error_inject_base_test,Error Injection,Base test for error injection,ALL,VAR,VAR,N/A,No,No,Infrastructure
axi4_error_inject_x_drive_test,Error Injection,X-value injection on multiple signals,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_awvalid_x_test,Error Injection,AWVALID X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_awaddr_x_test,Error Injection,AWADDR X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_wdata_x_test,Error Injection,WDATA X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_arvalid_x_test,Error Injection,ARVALID X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_bready_x_test,Error Injection,BREADY X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_error_inject_rready_x_test,Error Injection,RREADY X-value injection,ALL,VAR,VAR,5ms,No,No,PASS (v2.9)
axi4_exception_abort_awvalid_test,Exception,AWVALID abort before handshake,ALL,VAR,VAR,5ms,No,No,PASS (v2.9 fixed)
axi4_exception_abort_arvalid_test,Exception,ARVALID abort before handshake,ALL,VAR,VAR,5ms,No,No,PASS (v2.9 fixed)
axi4_exception_near_timeout_test,Exception,Near timeout detection and recovery,ALL,VAR,VAR,10ms,No,No,PASS (v2.9 fixed)
axi4_exception_illegal_access_test,Exception,Illegal address access handling,ALL,VAR,VAR,5ms,No,No,PASS (v2.9 fixed)
axi4_exception_ecc_error_test,Exception,ECC error detection and recovery,ALL,VAR,VAR,5ms,No,No,PASS (v2.9 fixed)
axi4_exception_special_reg_test,Exception,Special register access patterns,ALL,VAR,VAR,5ms,No,No,PASS (v2.9 fixed)
